Category,Group A,Group B,Group C,Group D,Group E,Group F,Group G
2023*,7545,810,515,1145,680,1490,7440
2022*,23725,910,2935,2430,935,3800,14500
2021,15460,1095,3285,2005,385,3095,9385
2020,7585,760,610,2485,460,1415,8865
2019,7005,800,670,3290,1660,1330,15105
2018,7240,1115,770,4755,2040,1365,12930
2017,17955,1540,490,4800,870,515,9900
2016,12780,1210,1135,2990,955,310,11955
2015,29695,3350,2685,7895,2030,65,8565
2014,13260,1080,615,3955,550,50,7270
