area,year_op,resource,hour,demand
ES,2020,electricity,1,690.8313311999999
ES,2020,electricity,2,589.0085920800001
ES,2020,electricity,3,409.54169754000003
ES,2020,electricity,3013,
ES,2020,electricity,3014,
ES,2020,electricity,3015,
ES,2040,electricity,1,
ES,2040,electricity,2,
ES,2040,electricity,3,
ES,2040,electricity,3013,877.04512
ES,2040,electricity,3014,1096.3064
ES,2040,electricity,3015,1205.93704
FR,2020,electricity,1,1050.1098646666667
FR,2020,electricity,2,890.5029052666666
FR,2020,electricity,3,616.4881624833333
FR,2020,electricity,3013,
FR,2020,electricity,3014,
FR,2020,electricity,3015,
FR,2040,electricity,1,
FR,2040,electricity,2,
FR,2040,electricity,3,
FR,2040,electricity,3013,1328.892
FR,2040,electricity,3014,1661.115
FR,2040,electricity,3015,1827.2265
