Classifier1,Classifier2,Classifier3,Classifier4,UsingID,Age,Area,Delay,UNFCCCLC,HistDist,LastDist
NFPine_mineral,A,mineral,YC12_20,False,0,2942.7999999999997,0,2,DISTID5,DISTID5
NFPine_mineral,A,mineral,YC4_12,False,0,0.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC4_12,False,0,1568.3999999999999,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC13_16,False,0,1866.8,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC17_20,False,0,10018.0,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC20_24,False,0,29534.8,0,2,DISTID5,DISTID5
NFSitka_mineral,A,mineral,YC24_30,False,0,38764.0,0,2,DISTID5,DISTID5
NFSGB_mineral,A,mineral,YC6,False,0,3593.6000000000004,0,2,DISTID5,DISTID5
NFFGB_mineral,A,mineral,YC6,False,0,10899.999999999998,0,2,DISTID5,DISTID5
NFCBmix_mineral,A,mineral,YC10,False,0,9005.3,0,2,DISTID5,DISTID5
NFOC_mineral,A,mineral,YC10,False,0,17816.800000000003,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC12_20,False,0,14401.600000000002,0,2,DISTID5,DISTID5
NFPine_peat,A,peat,YC4_12,False,0,6800.8,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC4_12,False,0,15365.8,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC13_16,False,0,13440.000000000002,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC17_20,False,0,29653.199999999997,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC20_24,False,0,37078.799999999996,0,2,DISTID5,DISTID5
NFSitka_peat,A,peat,YC24_30,False,0,22589.6,0,2,DISTID5,DISTID5
NFSGB_peat,A,peat,YC6,False,0,0.0,0,2,DISTID5,DISTID5
NFFGB_peat,A,peat,YC6,False,0,6602.400000000001,0,2,DISTID5,DISTID5
NFCBmix_peat,A,peat,YC10,False,0,4441.200000000001,0,2,DISTID5,DISTID5
NFOC_peat,A,peat,YC10,False,0,23635.599999999995,0,2,DISTID5,DISTID5
