Datum,Cultuureel onderwijs (85.52),Podiumkunsten (90.01),Scheppende kunsten (90.03)
20070101,3.935,9.675,13.265
20070401,4.04,9.89,13.375
20070701,4.275,10.69,14.265
20071001,4.295,10.665,13.91
20080101,4.405,10.98,14.155
20080401,4.445,11.23,14.415
20080701,4.61,12.025,15.21
20081001,4.64,12.08,15.11
20090101,4.77,12.805,15.475
20090401,4.845,13.155,16.085
20090701,4.91,14.085,17.375
20091001,5.18,15.11,19.41
20100101,5.27,15.89,20.445
20100401,5.31,16.275,21.16
20100701,5.56,17.435,22.84
20101001,5.69,18.015,23.486
20110101,5.835,18.44,23.935
20110401,5.945,18.78,24.28
20110701,6.12,19.295,25.01
20111001,6.26,19.535,25.36
20120101,6.495,20.085,25.79
20120401,6.64,20.385,26.055
20120701,6.765,20.655,26.09
20121001,6.865,20.885,26.255
20130101,6.975,21.045,26.36
20130401,7.16,21.33,26.62
20130701,7.41,21.83,27.0
20131001,7.515,22.085,27.145
20140101,7.675,22.4,27.315
20140401,7.92,22.845,27.7
20140701,8.155,23.39,28.195
20141001,8.33,23.775,28.515
20150101,8.475,24.215,28.83
20150401,8.655,24.525,29.075
20150701,8.82,24.975,29.52
20151001,8.97,25.32,29.91
20160101,9.11,25.685,30.275
20160401,9.26,26.105,30.72
20160701,9.45,26.565,31.21
20161001,9.54,26.835,31.415
20170101,9.71,27.235,31.72
20170401,9.935,27.77,32.155
20170701,10.18,28.26,32.77
20171001,10.36,28.83,33.37
20180101,10.52,29.355,33.855
20180401,10.685,29.83,34.125
20180701,10.865,30.34,34.665
20181001,11.025,30.91,35.29
20190101,11.185,31.415,35.825
20190401,11.385,32.005,36.185
20190701,11.535,32.375,36.52
20191001,11.745,33.125,37.225
20200101,11.91,33.685,37.54
20200401,12.1,34.25,37.945
20200701,12.365,34.755,38.31
20201001,12.325,34.595,38.785
20210101,14.015,34.58,39.405
20210401,14.225,34.975,40.09
20210701,14.315,35.17,40.79
20211001,14.435,35.55,41.685
20220101,14.73,35.73,42.62
