Leeftijd,Mannen,Vrouwen
20,17.0,15.0
21,19.6,17.2
22,22.3,19.2
23,24.8,21.2
24,27.3,23.1
25,29.6,24.7
26,31.7,26.1
27,33.4,27.0
28,34.8,27.6
29,36.1,27.8
30,37.4,27.8
31,38.5,27.8
32,39.4,27.7
33,40.5,27.9
34,41.5,27.8
35,42.0,27.7
36,42.9,27.6
37,43.6,27.5
38,44.2,27.1
39,44.9,27.2
