Gebruik social media;12 tot 18;18 tot 25;25 tot 35;35 tot 45;45 tot 55;55 tot 65;65 tot 75;75 jaar of ouder
2012;93,5;97,3;86,8;72,5;58,7;43,3;23,6;5,2
2013;91,7;97,0;91,0;79,0;66,0;50,5;28,7;9,4
2014;94,4;98,5;94,0;88,3;79,3;64,3;39,8;13,0
2015;93,9;95,6;95,0;90,3;84,0;70,0;48,8;18,1
2016;95,5;95,4;94,0;93,1;88,8;78,9;54,7;22,0
2017;96,9;99,1;98,0;95,8;91,0;83,6;63,9;34,7

