lens	WD,mm	μm/px	NA
PlanApo_λ 2x 0.10/8.50mm :Default	8.50	3.77442	0.10
PlanApo_λ 20x 0.75/1.00mm :Default	2.10	0.37744	0.75
PlanApo_λ 40x 0.95/0.25-0.16mm :Default	1.00	0.18872	0.95
