table,last_update,description
IEA_GHG_FUEL_DETAILED_2021,13-02-2022,
TEST_2022,03-02-2022,
CD_LINKS,02-02-2022,
IPCC_SR15,02-02-2022,
ENGAGE_2021,03-02-2022,
IEA_WEB_DETAILED_2021,13-02-2022,
PIK_NDC_2021,14-10-2021,
PRIMAP_2021,13-10-2021,
EWGLUT_2019,03-02-2022,
EEA_2021,17-08-2021,
UN_WUP_2018,16-07-2021,
CA_1P5_PATHWAYS_2021,16-07-2021,
CAT_2021_04,16-07-2021,
CAT_PSR_2019,16-07-2021,
FAO_2021,16-07-2021,
WDI_2021,16-07-2021,
ENERDATA_2021,16-07-2021,
B2G_2021,16-07-2021,
IEA_WEB_DETAILED_2020,01-06-2021,
IEA_CO2_FUEL_DETAILED_2019,30-05-2021,
CAT_EQUITY_2021,16-07-2021,
UNFCCC_CRF_2021,01-03-2022,
AIRCLIMMODELS_2021,03-08-2021,
PAC_2019,02-02-2021,
IMAGE15_2021,22-06-2021,
SSP_DB_2013,16-11-2020,
AIM15_2020,29-10-2020,
CAT_2020_09,16-10-2020,
IEA_CO2_FUEL_2020,15-10-2020,
IEA_WEB_2020,15-10-2020,
WDI_2020b,17-03-2021,
IMAGE15_2020,29-10-2020,1.5deg scenarios from IMAGE by PBL
LED_2019,15-09-2020,Low Energy Demand scenario
IAMC_CMIP6_2020,20-08-2020,
UNFCCC_CRF_2020,27-08-2020,
PRIMAP_DOWN_2020,28-07-2020,
HDI_2020,22-07-2020,
ENERDATA_2020,27-08-2020,
PRIMAP_2019,18-11-2020,
PRIMAP_2018,22-06-2020,
IEA_CO2_FUEL_2019,30-03-2021,
WDI_2020,22-06-2020,
IEA_WEB_2019,17-06-2020,
CAT_2019_11,06-11-2020,
WDI_2019,16-06-2020,
IAMC15_2019_R2,18-02-2021,
FAO_2020,06-05-2021,
ENERDATA_2019,27-08-2020,
CAT_2016_12,14-06-2020,
SIAMESE_2019,14-06-2020,
AR5_DB,14-06-2020,
CAT_2018_12,14-06-2020,
CA_PR_2019,14-06-2020,
CAT_2019_09,14-06-2020,
CAT_2015,14-06-2020,
CAT_2014,14-06-2020,
CDLINKS_2018,14-06-2020,
IEA_WEB_2018,14-06-2020,
UN_WPP2019,14-06-2020,
SIAMESE_2020,14-06-2020,
CA_NDCA_2019,17-05-2021,
APAC_2019,14-06-2020,
SDG_DB_2019,14-06-2020,
CAT_2017_11,14-06-2020,
WEO_2019,14-06-2020,
